Time (s),Average Speed (px/s),Dominant Direction
1.0,0.32904992,South
2.0,0.3631457,North
3.0,0.35707417,North
4.0,0.3708283,North
5.0,0.38774177,North
6.0,0.40389648,North
7.0,0.41351065,North
8.0,0.427324,East
9.0,0.425206,North
10.0,0.44020692,North
11.0,0.437427,East
12.0,0.4415505,West
13.0,0.45698613,East
14.0,0.45313436,East
15.0,0.45434493,East
16.0,0.46244115,East
17.0,0.46689656,North
18.0,0.47039238,East
19.0,0.47074106,East
20.0,0.47492567,East
21.0,0.4794953,East
22.0,0.48785794,North
23.0,0.49797282,North
24.0,0.5006233,North
25.0,0.50313896,East
26.0,0.503435,East
27.0,0.50465024,East
28.0,0.5069097,East
29.0,0.50415695,East
30.0,0.5040541,North
31.0,0.5073654,West
32.0,0.506829,East
33.0,0.5035229,East
34.0,0.50254405,North
35.0,0.5017595,East
